"date","station_id","station_name","in_establishment_period","in_measurement_period","days_since_planting","days_since_first_measurement","tavg_C","tmax_C","tmin_C","rh_mean_pct","dewpoint_mean_C","vpd_daily_kPa","precip_mm","precip_trace","measurable_precip","wind_mean_ms","weather_code","precip_prior_7d_mm","precip_prior_14d_mm","days_since_measurable_precip_prior","hot_day_90F","hot_period_id","hot_period_length_days","hot_period_90F_3d","tavg_prior_7d_mean_C","tmax_prior_7d_max_C","vpd_prior_7d_mean_kPa","vpd_prior_7d_max_kPa","hot_days_prior_7d_n","daily_source","temp_rh_status","precip_status","precip_original_in","irrigation_schedule_basis","irrigation_gal_per_tree","irrigation_L_per_tree","irrigated_today","days_since_irrigation_prior","irrigation_events_prior_7d_n"
2022-05-23,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,21,0,17.2222222222222,20.5555555555556,13.3333333333333,65,9.44444444444444,0.687815321709587,1.778,FALSE,TRUE,3.218688,"RA",18.288,51.054,2,FALSE,,0,FALSE,20.7142857142857,32.7777777777778,0.911779760234445,1.24416943274234,1,"NOAA_SOD","official_daily_summary","official_daily_summary","0.07","scheduled_Monday",5,18.92705892,TRUE,6,1
2022-05-24,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,22,1,14.4444444444444,16.6666666666667,12.2222222222222,87,11.6666666666667,0.213888880893603,0.762,FALSE,TRUE,1.251712,"RA BR",20.066,52.832,0,FALSE,,0,FALSE,20.3968253968254,32.7777777777778,0.906767520930496,1.24416943274234,1,"NOAA_SOD","official_daily_summary","official_daily_summary","0.03","no_scheduled_irrigation",0,0,FALSE,0,1
2022-05-25,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,23,2,15.5555555555556,20,10.5555555555556,72,11.1111111111111,0.494845811917701,0,FALSE,FALSE,1.78816,"FG BR",20.828,53.594,0,FALSE,,0,FALSE,19.7619047619048,32.7777777777778,0.768981362258439,1.24416943274234,1,"NOAA_SOD","official_daily_summary","official_daily_summary","0","no_scheduled_irrigation",0,0,FALSE,1,1
2022-05-26,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,24,3,17.7777777777778,23.3333333333333,12.2222222222222,77,13.8888888888889,0.468124925013049,0,FALSE,FALSE,3.173984,,14.732,53.594,1,FALSE,,0,FALSE,19.8412698412698,32.7777777777778,0.730044220467811,1.24416943274234,1,"NOAA_SOD","official_daily_summary","official_daily_summary","0","no_scheduled_irrigation",0,0,FALSE,2,1
2022-05-27,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,25,4,20,23.8888888888889,15.5555555555556,87,17.2222222222222,0.303976565220568,33.274,FALSE,TRUE,2.056384,"TS RA FG BR",3.302,53.594,2,FALSE,,0,FALSE,19.4444444444444,32.7777777777778,0.689751533644194,1.24416943274234,1,"NOAA_SOD","official_daily_summary","official_daily_summary","1.31","no_scheduled_irrigation",0,0,FALSE,3,1
2022-05-28,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,26,5,19.4444444444444,24.4444444444444,14.4444444444444,72,13.8888888888889,0.632538372232581,0,TRUE,FALSE,2.637536,,35.814,82.296,0,FALSE,,0,FALSE,19.3650793650794,32.7777777777778,0.66403632104636,1.24416943274234,1,"NOAA_SOD","official_daily_summary","trace_reported_as_0_mm","T","no_scheduled_irrigation",0,0,FALSE,4,1
2022-05-29,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,27,6,19.4444444444444,26.6666666666667,12.2222222222222,72,14.4444444444444,0.632538372232581,0,FALSE,FALSE,1.072896,,35.814,81.534,1,FALSE,,0,FALSE,18.5714285714286,32.7777777777778,0.57790847281849,1.24416943274234,1,"NOAA_SOD","official_daily_summary","official_daily_summary","0","no_scheduled_irrigation",0,0,FALSE,5,1
2022-05-30,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,28,7,22.7777777777778,31.1111111111111,14.4444444444444,69,17.2222222222222,0.859288064797441,0,FALSE,FALSE,1.028192,"BR",35.814,54.102,2,FALSE,,0,FALSE,17.6984126984127,26.6666666666667,0.490532607031381,0.687815321709587,0,"NOAA_SOD","official_daily_summary","official_daily_summary","0","no_scheduled_irrigation",0,0,FALSE,6,1
2022-05-31,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,29,8,25.787037037037,32.7777777777778,16.6666666666667,63.8333333333333,17.6157407407407,1.20049968642366,0,FALSE,FALSE,1.60189333333333,,34.036,54.102,3,TRUE,2,2,FALSE,18.4920634920635,31.1111111111111,0.515028713186789,0.859288064797441,0,"FM-15_hourly_reconstruction","reconstructed_from_complete_hourly_records","validated_0_mm_from_hourly_METAR_records",,"shifted_from_Monday_federal_holiday",5,18.92705892,TRUE,7,0
2022-06-01,"USW00013734","Martinsburg Eastern WV Regional Airport",TRUE,TRUE,30,9,25,32.7777777777778,16.6666666666667,63,17.7777777777778,1.17207775547753,0,FALSE,FALSE,2.592832,,33.274,54.102,4,TRUE,2,2,FALSE,20.1124338624339,32.7777777777778,0.655973113976797,1.20049968642366,1,"NOAA_SOD","official_daily_summary","official_daily_summary","0","no_scheduled_irrigation",0,0,FALSE,0,1
