"site","species","replicate","week","tray","date.x","sample_ID","weight_mg","N2_amp","nitro_perc","n15","CO2_Amp","carbon_perc","c13","uniqueid.x","Date.x","obs","time","elapsed","date.y","hhmmss","averaging","treatment","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","X.Pcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_blue","Tled","Pc","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","date2","Date.y","uniqueid.y","date","drymass_g","area_cm2","Date","uniqueid","sla_cm2g","lma_gm2","amass","nmass","nue"
"c","d",1,1,1,"5/24/2022",35,3,"2,445",2.04,3.28,"8,851",47.56,-25.04,"d-c",2022-05-24,2,1653484519,194.5,"20220525 09:15:18","9:15:18",10,"d",1653484513,0.001966059,1.966058717,7.939300689,414.72175,260.140455,26.32578651,41.96915951,0.09063403,2.409041666,0.08878143,0.055651688,238.0484554,31.20474794,30.079125,4.279851375,49.12429483,2.109567278,4.294346179,2.170284097,-86.70318944,7.65101014,0.706936439,159.7032125,1,0,1,0,25532.11758,1499.9905,1264.492082,0.84300006,0.158699975,3,0.5,"0: Broadleaf",2,1653484513,414.72175,419.9703,20.845865,19.691755,410.96975,20.225215,500.40495,101.0984,0.09995651,30.138035,30.079125,999.9,0,0,4999.3125,589.9822,54.221195,1499.9905,"0.9000006",0.09999949,24,30874.985,1653484537,"9:15:37",1653484537,1653484020,3,-0.083,0.053,3.752,0.581,420,19,0.6,0.12,100,100,3.752,0.6204,3.855507506,0.000397065,-1.31e-06,5.62e-10,0.415873853,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,2.9,8.3,19,489.75,411.175,37.9174,23.074,29.9995,22.8312,22.7577,19.6791,0,100,37.785,420,20.8276,100.369,100.844,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-25 09:15:18,2022-05-25,"d-c","5/24/2022",0.07,12.78,2022-05-24,"d-c",182.571428571429,54.773082942097,1449.48946864886,20.4,71.0534053259244
"c","d",1,10,1,"7/26/2022",11,3.21,"1,556",1.23,2.88,"9,279",47.15,-26.81,"d-c",2022-07-26,2,1658839821,152,"20220726 08:50:20","8:50:20",10,"d",1658839813,0.004878164,4.878163518,4.844833216,415.4993548,364.7280395,36.59039805,41.68389906,0.223275485,2.117727573,0.210973424,0.132907166,238.0484758,30.15788894,30.46102903,4.374581623,50.06573566,2.130110905,4.254628194,2.244470719,-215.1270111,-55.35374928,-5.824464553,-38.25674919,235,23,1,0,25387.59955,1499.990323,1264.491824,0.842999988,0.158700008,6,0.5,"0: Broadleaf",2,1658839813,415.4993548,419.6223548,21.23265161,18.36791613,415.6013548,20.92785484,1000.005871,100.2224839,0.099931987,29.97619677,30.46102903,999.9,0,0,5010.100645,543.6737097,11.96337742,1499.990323,"0.899999839",0.100000142,27,29957.92903,1658839842,"8:50:41",1658839842,1657715840,2,-0.046,0.039,-0.102,0.336,419,22,0.34,0.16,100,100,-0.102,0.3058,-0.033766266,0.000397065,-1.31e-06,5.62e-10,0.080136647,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,2.2,18733,1.65527,2.39746,3.35327,3.04321,3.39966,2.37061,30.9769,14.5348,19,329.287,877.889,34.2679,27.3399,30.0006,26.8962,26.8106,33.093,27.8194,76.9458,34.102,420,18.4631,99.9742,98.4,2022-07-26 08:50:20,2022-07-26,"d-c","7/27/2022",0.1579,16.221,2022-07-27,"d-c",102.729575680811,97.3429504962703,497.707660523977,12.3,40.4640374409737
"c","d",1,3,1,"6/8/2022",89,3.18,"1,790",1.51,3.95,"9,523",44.89,-25.58,"d-c",2022-06-08,2,1654785351,274,"20220609 10:35:50","10:35:50",10,"d",1654785345,0.001816536,1.816536327,6.400895645,415.6678571,273.2636417,27.12075109,41.25402275,0.080217299,2.371468044,0.078739794,0.049342852,238.0499849,30.97814801,30.26668095,4.326148308,49.97589009,2.110745229,4.223527036,2.215403078,-80.10925202,-53.45859136,-5.015188358,99.46695317,14,3,1,0,25067.1998,1500,1264.500058,0.843000039,0.15869999,3,0.5,"0: Broadleaf",2,1654785345,415.6678571,419.9605238,21.26747619,20.2009619,410.7988571,20.79268095,500.1067143,99.14830952,0.099255657,29.84854762,30.26668095,999.9,0,0,4999.94,560.808381,1591.381429,1654785368,"10:36:07",1654785368,1654779588,18,0.044,"0.061",4.869,0.481,420,21,0.47,0.17,100,100,4.869,0.4743,4.845248218,0.000397065,-1.31e-06,5.62e-10,0.25398333,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,4.3,96.1,19,479.961,516.462,33.0012,30.5293,29.9997,30.5177,30.465,21.5856,27.2702,41.6264,33.0346,420,20.3481,98.6699,98.8331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-09 10:35:50,2022-06-09,"d-c","6/8/2022",0.176,21.24,2022-06-08,"d-c",120.681818181818,82.8625235404896,772.471724430682,15.1,51.1570678430915
"c","d",1,8,2,"7/13/2022",143,3.18,"1,649",1.28,3.69,"9,534",45.05,-26.01,"d-c",2022-07-13,2,1657719530,163.5,"20220713 09:38:50","9:38:50",10,"d",1657719525,0.002766054,2.766053589,9.339501185,413.7439524,272.5268751,27.23456962,41.34688909,0.119339306,2.386002564,0.116119716,0.072856855,238.0496323,30.76133259,30.67950952,4.429592413,50.11318092,2.12719916,4.244789735,2.302393253,-121.9829633,-95.65298151,-8.941076362,11.47261111,80,16,1,0,25251.5786,1499.997619,1264.497958,0.842999977,0.158700007,3,0.5,"0: Broadleaf",2,1657719525,413.7439524,420.0305714,21.28614286,19.66280476,411.9169524,20.95555714,500.2978095,99.8335381,0.09998081,29.93590476,30.67950952,999.9,0,0,5003.09619,544.5650476,744.1400476,1499.997619,"0.89999981",0.100000157,33,30875.10952,1657719549,"9:39:08",1657719549,1657715840,13,0.023,0.039,1.827,0.336,420,22,0.32,0.16,100,100,1.827,0.3305,1.826463055,0.000397065,-1.31e-06,5.62e-10,0.105130872,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,2.3,61.5,19,178.515,494.627,28.4287,31.762,30.0005,31.597,31.5277,21.5755,29.1293,0,28.4816,420,19.6585,99.6505,100.363,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-13 09:38:50,2022-07-13,"d-c","7/13/2022",0.106,11.928,2022-07-13,"d-c",112.528301886792,88.8665325285044,1050.95820881774,12.8,82.1061100638856
"c","d",2,1,1,"5/24/2022",36,3.35,"2,618",1.97,3.12,"9,632",47.82,-25.57,"d-c",2022-05-24,5,1653485189,865,"20220525 09:26:29","9:26:29",10,"d",1653485184,0.002733605,2.733605112,12.35201889,411.8238,255.3105289,25.83826347,41.67792019,0.13931423,2.409868813,0.13498968,0.084745911,238.0496691,30.8105956,29.313505,4.095311866,49.54461231,2.108714596,4.256193555,1.986597269,-120.5519855,86.92938941,7.99279395,212.419867,0,0,1,0,25557.51868,1499.9985,1264.498669,0.842999956,0.158699938,3,0.5,"0: Broadleaf",2,1653485184,411.8238,419.90265,20.836425,19.23199,408.1088,20.216035,500.48395,101.10325,0.10003205,29.9826,29.313505,999.9,0,0,5001.1875,582.2125,379.0854,1499.9985,"0.90000075",0.099999225,23.00834,30875.155,1653485209,"9:26:49",1653485209,1653484020,5,-0.084,0.053,3.715,0.581,420,19,0.14,0.12,100,100,3.715,0.6203,3.820000278,0.000397065,-1.31e-06,5.62e-10,0.415873853,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,7.1,19.5,19,497.921,410.81,42.2934,23.3235,30,23.1481,23.0813,19.5578,14.9826,100,64.6705,420,19.3477,100.322,100.79,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-25 09:26:29,2022-05-25,"d-c","5/24/2022",0.036,7.04,2022-05-24,"d-c",195.555555555556,51.1363636363636,2415.50591626667,19.7,122.614513516074
"c","d",2,10,1,"7/26/2022",12,3.13,"1,772",1.44,2.45,"9,349",48.67,-24.96,"d-c",2022-07-26,5,1658840480,811,"20220726 09:01:19","9:01:19",10,"d",1658840472,0.003284199,3.284199389,5.648487697,415.7908,343.6114767,34.46781392,41.70815265,0.158280676,2.114389669,0.151980432,0.095532926,238.0498221,30.79497652,29.87488333,4.229927344,49.86051676,2.131011428,4.273945731,2.098915916,-144.8331931,20.54003393,2.159258612,115.9159216,236,24,1,0,25319.30233,1499.998667,1264.498889,0.843000009,0.158700023,6,0.5,"0: Broadleaf",2,1658840472,415.7908,419.9992,21.24416667,19.31551667,415.9148,20.93904,1000.003933,100.2104,0.100026903,30.05507333,29.87488333,999.9,0,0,5000.084333,531.0992,136.4873,1499.998667,"0.8999997",0.1000003,28,29958.06667,1658840500,"9:01:39",1658840500,1657715840,5,-0.02,0.039,-0.124,0.336,420,22,0.42,0.16,100,100,-0.124,0.3048,-0.081230853,0.000397065,-1.31e-06,5.62e-10,0.080136647,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,2.7,18744,1.67358,2.42798,3.35327,3.04199,3.39966,2.39868,32.1784,14.4648,19,328.755,877.07,33.6409,28.0003,30,27.8383,27.7919,33.4483,22.2881,69.4583,33.6169,420,19.4292,99.8356,98.3467,2022-07-26 09:01:19,2022-07-26,"d-c","7/27/2022",NA,7.239,2022-07-27,"d-c",NA,NA,NA,14.4,NA
"c","d",2,3,1,"6/8/2022",90,2.97,"1,927",1.67,3.73,"9,232",45.57,-24.7,"d-c",2022-06-08,5,1654786402,1325.4,"20220609 10:53:22","10:53:22",10,"d",1654786397,0.000948327,0.948326683,4.860220105,416.8312,206.957298,20.54369481,41.37690742,0.039619433,2.372621998,0.039255528,0.024567122,238.0499849,31.44504363,30.68024,4.429777344,49.42217663,2.110747769,4.270851494,2.319029575,-41.8212067,-81.58022377,-7.672709796,106.9758446,3,1,1,0,25067.81624,1500,1264.500058,0.843000039,0.15869999,3,0.5,"0: Broadleaf",2,1654786397,416.8312,419.98325,21.263685,20.70701,412.2062,20.78903,500.19945,99.165555,0.09982489,30.04246,30.68024,999.9,0,0,5002.063,562.9583,312.16395,1654786425,"10:53:45",1654786425,1654779588,21,0.017,"0.061",4.625,0.481,420,21,0.45,0.17,100,100,4.625,0.475,4.628646881,0.000397065,-1.31e-06,5.62e-10,0.25398333,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,5.3,113.6,19,492.521,521.879,32.4664,30.4225,30,30.4472,30.4129,21.735,17.7523,36.1365,32.4114,420,20.7111,98.7162,98.9292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-09 10:53:22,2022-06-09,"d-c","6/8/2022",0.087,10.76,2022-06-08,"d-c",123.67816091954,80.8550185873606,601.103084250575,16.7,35.9941966617111
"c","d",2,5,1,"6/22/2022",80,2.85,"1,479",1.34,3.21,"8,832",44.5,-25.84,"d-c",2022-06-22,2,1655819195,401,"20220621 09:46:34","9:46:34",10,"d",1655819189,0.001790271,1.79027085,8.675467289,414.32815,225.3061777,22.6908565,41.72748698,0.079513906,2.398733634,0.078078129,0.04892567,238.0492762,31.13613354,30.44381,4.370271493,50.09736575,2.13562943,4.262957538,2.234642063,-78.95094448,-56.06885458,-5.209005488,97.82047169,6,1,1,0,25406.5396,1499.9965,1264.496906,0.842999904,0.158699888,3,0.5,"0: Broadleaf",2,1655819189,414.32815,419.97505,21.20548,20.154735,410.28815,20.738205,500.30425,100.6111,0.10010435,30.010245,30.44381,999.9,0,0,4997.0625,573.15655,268.52215,1499.9965,"0.9000013",0.099998635,26,30875.14,1655819212,"9:46:51",1655819212,1655818360,11,0.035,-0.03,4.04,0.463,420,21,0.2,0.12,100,100,4.04,0.4676,4.024921703,0.000397065,-1.31e-06,5.62e-10,0.248018001,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,6.4,13.9,19,497.605,557.953,34.9373,26.3975,30.0002,26.3169,26.2583,21.602,20.4024,100,34.9456,420,20.2606,99.6135,99.601,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-21 09:46:34,2022-06-21,"d-c","6/21/2022",0.10495,12.82,2022-06-21,"d-c",122.153406383992,81.8642745709828,1059.73788132425,13.4,79.084916516735
"c","d",2,5,1,"6/22/2022",80,2.85,"1,479",1.34,3.21,"8,832",44.5,-25.84,"d-c",2022-06-22,5,1655819724,930.4000001,"20220621 09:55:24","9:55:24",10,"d",1655819719,0.001283701,1.283700759,6.535321499,415.74555,219.2207718,22.07901474,41.87218232,0.057164695,2.401385194,0.056419334,0.035328242,238.0486364,31.48700849,30.442565,4.369959998,49.93525592,2.152589599,4.310761124,2.217370398,-56.61120349,-30.81554449,-2.862448575,147.7594398,16,3,1,0,25430.03798,1499.9915,1264.492817,0.842999988,0.15869999,3,0.5,"0: Broadleaf",2,1655819719,415.74555,419.9848,21.37289,20.619515,411.80955,20.900975,500.2546,100.61595,0.099938175,30.20454,30.442565,999.9,0,0,5003.625,576.2951,234.22715,1499.9915,"0.9000001",0.09999989,26,30874.99,1655819742,"9:55:42",1655819742,1655818360,14,-0.098,-0.03,3.936,0.463,420,21,0.37,0.12,100,100,3.936,0.4717,4.055679781,0.000397065,-1.31e-06,5.62e-10,0.248018001,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,2.3,22.7,19,485.578,562.466,32.9722,26.1449,30,26.1042,26.0535,21.6358,18.867,100,32.8041,420,20.5421,99.6598,99.6587,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-21 09:55:24,2022-06-21,"d-c","6/21/2022",0.10495,12.82,2022-06-21,"d-c",122.153406383992,81.8642745709828,798.311782917389,13.4,59.5755061878649
"c","d",2,8,2,"7/13/2022",144,2.97,"1,589",1.32,3.65,"9,224",46.21,-25.37,"d-c",2022-07-13,5,1657720041,673.9000001,"20220713 09:47:20","9:47:20",10,"d",1657720035,0.004420393,4.420393281,13.9245098,410.5687143,289.2846239,28.90913902,41.02944664,0.212740344,2.382732455,0.202723181,0.127562677,238.0507007,30.32169627,29.89980476,4.235991724,49.86579634,2.126306359,4.264057762,2.109685364,-194.9393437,14.76409143,1.377167646,59.25261614,0,0,1,0,25195.80113,1500.00381,1264.503083,0.842999914,0.158700064,3,0.5,"0: Broadleaf",2,1657720035,410.5687143,420.0055238,21.27727619,18.68334762,408.7287143,20.94692857,500.3614286,99.83321905,0.099983881,30.0147381,29.89980476,999.9,0,0,4994.674286,551.1541905,27.29815,1500.00381,"0.899998714",0.100001143,31,30875.2381,1657720060,"9:47:39",1657720060,1657715840,15,0.074,0.039,1.84,0.336,420,22,0.15,0.16,100,100,1.84,0.3301,1.78837172,0.000397065,-1.31e-06,5.62e-10,0.105130872,-0.015677492,0.001668635,-1.94e-05,2,2011,1,26,2.8,70,19,213.571,498.71,29.7355,31.1417,29.9997,31.2394,31.2102,21.5944,31.3334,0,29.7292,420,18.7017,99.7595,100.498,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-13 09:47:20,2022-07-13,"d-c","7/13/2022",0.107,11.066,2022-07-13,"d-c",103.420560747664,96.6925718416772,1440.08061165234,13.2,109.097016034268
