"trait","model_scale","error_stratum","effect","Df","F_value","p_formatted","significance"
"Foliar nitrogen","log(%N)","tree_id","site        ",1,14.415,"<0.001","***"
"Foliar nitrogen","log(%N)","tree_id","species     ",2,164.383,"<0.001","***"
"Foliar nitrogen","log(%N)","tree_id","site:species",2,0.87,"0.433",""
"Foliar nitrogen","log(%N)","tree_id","Residuals   ",22,NA,NA,""
"Foliar nitrogen","log(%N)","tree_id:week_f","week_f             ",9,38.062,"<0.001","***"
"Foliar nitrogen","log(%N)","tree_id:week_f","site:week_f        ",9,2.077,"0.033","*"
"Foliar nitrogen","log(%N)","tree_id:week_f","species:week_f     ",18,2.729,"<0.001","***"
"Foliar nitrogen","log(%N)","tree_id:week_f","site:species:week_f",18,0.93,"0.543",""
"Foliar nitrogen","log(%N)","tree_id:week_f","Residuals          ",198,NA,NA,""
"Foliar C/N","log(C/N)","tree_id","site        ",1,11.691,"0.002","**"
"Foliar C/N","log(C/N)","tree_id","species     ",2,129.877,"<0.001","***"
"Foliar C/N","log(C/N)","tree_id","site:species",2,1.056,"0.365",""
"Foliar C/N","log(C/N)","tree_id","Residuals   ",22,NA,NA,""
"Foliar C/N","log(C/N)","tree_id:week_f","week_f             ",9,38.686,"<0.001","***"
"Foliar C/N","log(C/N)","tree_id:week_f","site:week_f        ",9,2.193,"0.024","*"
"Foliar C/N","log(C/N)","tree_id:week_f","species:week_f     ",18,3.205,"<0.001","***"
"Foliar C/N","log(C/N)","tree_id:week_f","site:species:week_f",18,1.136,"0.320",""
"Foliar C/N","log(C/N)","tree_id:week_f","Residuals          ",198,NA,NA,""
"Carbon isotope composition","c13","tree_id","site        ",1,0.933,"0.345",""
"Carbon isotope composition","c13","tree_id","species     ",2,13.404,"<0.001","***"
"Carbon isotope composition","c13","tree_id","site:species",2,2.009,"0.158",""
"Carbon isotope composition","c13","tree_id","Residuals   ",22,NA,NA,""
"Carbon isotope composition","c13","tree_id:week_f","week_f             ",9,8.888,"<0.001","***"
"Carbon isotope composition","c13","tree_id:week_f","site:week_f        ",9,1.971,"0.044","*"
"Carbon isotope composition","c13","tree_id:week_f","species:week_f     ",18,1.487,"0.097","."
"Carbon isotope composition","c13","tree_id:week_f","site:species:week_f",18,0.844,"0.647",""
"Carbon isotope composition","c13","tree_id:week_f","Residuals          ",198,NA,NA,""
