response,species,site,week,n,mean,se
"Photosynthesis, A",Dogwood,Park,1,5,8.145029579,0.7395642005423697
"Photosynthesis, A",Dogwood,Park,2,5,6.7277355292,1.096294997245334
"Photosynthesis, A",Dogwood,Park,3,5,6.7470273465999995,1.1781531926214033
"Photosynthesis, A",Dogwood,Park,4,5,5.744406382,0.856238430074879
"Photosynthesis, A",Dogwood,Park,5,5,9.7701729608,3.179408154505143
"Photosynthesis, A",Dogwood,Park,6,5,7.471263453,0.7628713663579137
"Photosynthesis, A",Dogwood,Park,7,5,5.4651309942,0.6189252769048857
"Photosynthesis, A",Dogwood,Park,8,5,9.905209620599999,2.0591865139126284
"Photosynthesis, A",Dogwood,Park,9,5,7.9710073676,0.5524179389293878
"Photosynthesis, A",Dogwood,Park,10,5,10.4343568376,1.0229233003494345
"Photosynthesis, A",Dogwood,Downtown,1,5,8.7785408508,1.0003435884039016
"Photosynthesis, A",Dogwood,Downtown,2,5,6.8511267392,0.5708037982270298
"Photosynthesis, A",Dogwood,Downtown,3,5,5.773774745,0.6933721953749985
"Photosynthesis, A",Dogwood,Downtown,4,5,5.1932633807999995,0.8908718894439785
"Photosynthesis, A",Dogwood,Downtown,5,5,6.613216162,0.5405500428217607
"Photosynthesis, A",Dogwood,Downtown,6,5,5.0752515108,0.6409221051385146
"Photosynthesis, A",Dogwood,Downtown,7,5,5.2379139536,0.7108204741676363
"Photosynthesis, A",Dogwood,Downtown,8,5,10.5589171332,1.895579255479663
"Photosynthesis, A",Dogwood,Downtown,9,5,6.7680145442,0.38616254193754534
"Photosynthesis, A",Dogwood,Downtown,10,5,6.8731744534,0.8345280053648847
"Photosynthesis, A",Hawthorn,Park,1,5,14.81365055,1.2237655718161018
"Photosynthesis, A",Hawthorn,Park,2,5,9.2038497894,1.1881141601734981
"Photosynthesis, A",Hawthorn,Park,3,5,15.631841035999999,1.8423149211933705
"Photosynthesis, A",Hawthorn,Park,4,5,8.8144482474,2.4701252815881376
"Photosynthesis, A",Hawthorn,Park,5,5,16.868535482,1.1793149246440182
"Photosynthesis, A",Hawthorn,Park,6,5,13.5839041368,1.1394339323215417
"Photosynthesis, A",Hawthorn,Park,7,5,15.651440862,3.099014641265119
"Photosynthesis, A",Hawthorn,Park,8,5,15.64399392,0.6069391820465445
"Photosynthesis, A",Hawthorn,Park,9,5,12.684701290400001,4.199511735712241
"Photosynthesis, A",Hawthorn,Park,10,5,14.7006814338,2.1388865252317886
"Photosynthesis, A",Hawthorn,Downtown,1,5,14.174319382,0.6992177835462055
"Photosynthesis, A",Hawthorn,Downtown,2,5,16.285748804,1.0424460536543867
"Photosynthesis, A",Hawthorn,Downtown,3,5,13.758796334,0.6519187435319986
"Photosynthesis, A",Hawthorn,Downtown,4,5,13.7816497512,1.699667511037894
"Photosynthesis, A",Hawthorn,Downtown,5,5,11.1952094348,1.1183872902820873
"Photosynthesis, A",Hawthorn,Downtown,6,5,14.5366633944,2.440924456153777
"Photosynthesis, A",Hawthorn,Downtown,7,5,13.571072284,1.6154227548947806
"Photosynthesis, A",Hawthorn,Downtown,8,5,13.61063719,1.379354556873573
"Photosynthesis, A",Hawthorn,Downtown,9,5,20.82088498,1.7347276050439624
"Photosynthesis, A",Hawthorn,Downtown,10,5,15.4249296742,2.046788783795
"Photosynthesis, A",Maple,Park,1,5,12.1962554978,1.2283707225772356
"Photosynthesis, A",Maple,Park,2,5,10.1222662384,2.0477249252938923
"Photosynthesis, A",Maple,Park,3,5,10.4848383086,2.0948128321808044
"Photosynthesis, A",Maple,Park,4,5,8.0993879692,1.8258104801417692
"Photosynthesis, A",Maple,Park,5,5,10.2073880438,1.282082552105599
"Photosynthesis, A",Maple,Park,6,5,12.614695806,0.830853291074287
"Photosynthesis, A",Maple,Park,7,5,10.5509588252,1.2256006197767304
"Photosynthesis, A",Maple,Park,8,5,11.7002954808,1.0842677675968921
"Photosynthesis, A",Maple,Park,9,5,13.926958312,1.2222250851710115
"Photosynthesis, A",Maple,Park,10,5,11.726470921999999,0.5141249523161031
"Photosynthesis, A",Maple,Downtown,1,5,13.8410076398,1.834455838772327
"Photosynthesis, A",Maple,Downtown,2,5,14.3899548,1.3287869839540898
"Photosynthesis, A",Maple,Downtown,3,5,10.8573905534,2.1327404978407953
"Photosynthesis, A",Maple,Downtown,4,5,10.9379736258,1.5336751685850962
"Photosynthesis, A",Maple,Downtown,5,5,10.64956186,1.0296588827345847
"Photosynthesis, A",Maple,Downtown,6,5,15.28769601,0.7572764140466149
"Photosynthesis, A",Maple,Downtown,7,5,11.845562951,2.3901551235993104
"Photosynthesis, A",Maple,Downtown,8,5,12.5728200146,1.60773325142023
"Photosynthesis, A",Maple,Downtown,9,5,13.5509418846,2.0813599924747117
"Photosynthesis, A",Maple,Downtown,10,5,7.2101250176,1.3386201281063586
"Stomatal conductance, gsw",Dogwood,Park,1,5,0.1263797142,0.03887800428998765
"Stomatal conductance, gsw",Dogwood,Park,2,5,0.0874208062,0.012024310318965689
"Stomatal conductance, gsw",Dogwood,Park,3,5,0.0852097688,0.018342984710697896
"Stomatal conductance, gsw",Dogwood,Park,4,5,0.07892810119999999,0.014552167764991063
"Stomatal conductance, gsw",Dogwood,Park,5,5,0.153954079,0.04709190479384653
"Stomatal conductance, gsw",Dogwood,Park,6,5,0.0941452332,0.013631459531288932
"Stomatal conductance, gsw",Dogwood,Park,7,5,0.0775408924,0.012990326956871256
"Stomatal conductance, gsw",Dogwood,Park,8,5,0.20039601740000001,0.06787579001547885
"Stomatal conductance, gsw",Dogwood,Park,9,5,0.0932796744,0.009160217233325394
"Stomatal conductance, gsw",Dogwood,Park,10,5,0.1728647898,0.01901371240289003
"Stomatal conductance, gsw",Dogwood,Downtown,1,5,0.0919239282,0.012309855205339934
"Stomatal conductance, gsw",Dogwood,Downtown,2,5,0.07669781419999999,0.011530841893491711
"Stomatal conductance, gsw",Dogwood,Downtown,3,5,0.0637085132,0.013244985912335408
"Stomatal conductance, gsw",Dogwood,Downtown,4,5,0.0617124676,0.014154601605442237
"Stomatal conductance, gsw",Dogwood,Downtown,5,5,0.0679493694,0.004398811431862561
"Stomatal conductance, gsw",Dogwood,Downtown,6,5,0.06718721999999999,0.007956680173723729
"Stomatal conductance, gsw",Dogwood,Downtown,7,5,0.0621266488,0.010340341354553235
"Stomatal conductance, gsw",Dogwood,Downtown,8,5,0.1460745634,0.030391934355900114
"Stomatal conductance, gsw",Dogwood,Downtown,9,5,0.0718164898,0.004098636468117321
"Stomatal conductance, gsw",Dogwood,Downtown,10,5,0.1696008052,0.01909345794694301
"Stomatal conductance, gsw",Hawthorn,Park,1,5,0.2068616326,0.025731720585547138
