date,site,species,replicate,dbh_mm
5/24/2022,p,m,1,56.17
5/24/2022,p,m,2,53.29
5/24/2022,p,m,3,46.45
5/24/2022,p,m,4,45.25
5/24/2022,p,m,5,54.58
5/24/2022,p,d,1,35.37
5/24/2022,p,d,2,31.53
5/24/2022,p,d,3,35.36
5/24/2022,p,d,4,36.13
5/24/2022,p,d,5,34.62
5/24/2022,p,h,1,39.68
5/24/2022,p,h,2,44.84
5/24/2022,p,h,3,40.49
5/24/2022,p,h,4,38.18
5/24/2022,p,h,5,43.8
5/24/2022,c,m,1,43.66
5/24/2022,c,m,2,59.96
5/24/2022,c,m,3,48.29
5/24/2022,c,m,4,56.48
5/24/2022,c,m,5,48.7
5/24/2022,c,d,1,36.1
5/24/2022,c,d,2,32.92
5/24/2022,c,d,3,36.43
5/24/2022,c,d,4,34.39
5/24/2022,c,d,5,40.79
5/24/2022,c,h,1,37.26
5/24/2022,c,h,2,34.54
5/24/2022,c,h,3,40.21
5/24/2022,c,h,4,39.53
5/24/2022,c,h,5,40.41
6/1/2022,c,d,1,36.24
6/1/2022,c,d,2,33.4
6/1/2022,c,d,3,36.5
6/1/2022,c,d,4,35.1
6/1/2022,c,d,5,41.01
5/31/2022,p,m,1,56.41
5/31/2022,p,m,2,53.29
5/31/2022,p,m,3,49.66
5/31/2022,p,m,4,45.55
5/31/2022,p,m,5,54.59
5/31/2022,p,d,1,37.24
5/31/2022,p,d,2,31.49
5/31/2022,p,d,3,35.49
5/31/2022,p,d,4,36.02
5/31/2022,p,d,5,35.36
5/31/2022,p,h,1,39.43
5/31/2022,p,h,2,45.39
5/31/2022,p,h,3,41.12
5/31/2022,p,h,4,38.45
5/31/2022,p,h,5,44.17
6/1/2022,c,m,1,43.65
6/1/2022,c,m,2,58.12
6/1/2022,c,m,3,48.68
6/1/2022,c,m,4,56.23
6/1/2022,c,m,5,51.34
6/1/2022,c,h,1,37.25
6/1/2022,c,h,2,35.16
6/1/2022,c,h,3,40.86
6/1/2022,c,h,4,39.64
6/1/2022,c,h,5,40.13
6/9/2022,p,m,1,58.47
6/9/2022,p,m,2,53.56
6/9/2022,p,m,3,50.71
6/9/2022,p,m,4,46.22
6/9/2022,p,m,5,54.55
6/9/2022,p,d,1,41.63
6/9/2022,p,d,2,31.86
6/9/2022,p,d,3,35.41
6/9/2022,p,d,4,35.86
6/9/2022,p,d,5,35.05
6/9/2022,p,h,1,40.64
6/9/2022,p,h,2,45.1
6/9/2022,p,h,3,41.03
6/9/2022,p,h,4,38.36
6/9/2022,p,h,5,44.11
6/9/2022,c,m,1,44.18
6/9/2022,c,m,2,60.76
6/9/2022,c,m,3,49.06
6/9/2022,c,m,4,56.87
6/9/2022,c,m,5,51.64
6/9/2022,c,d,1,36.33
6/9/2022,c,d,2,33.47
6/9/2022,c,d,3,36.42
6/9/2022,c,d,4,35.41
6/9/2022,c,d,5,41.02
6/9/2022,c,h,1,37.26
6/9/2022,c,h,2,35.38
6/9/2022,c,h,3,40.84
6/9/2022,c,h,4,39.41
6/9/2022,c,h,5,40.33
6/15/2022,p,m,1,59.58
6/15/2022,p,m,2,53.21
6/15/2022,p,m,3,53.82
6/15/2022,p,m,4,43.65
6/15/2022,p,m,5,54.57
6/15/2022,p,d,1,39.48
6/15/2022,p,d,2,34.44
6/15/2022,p,d,3,35.45
6/15/2022,p,d,4,36.32
6/15/2022,p,d,5,34.99
6/15/2022,p,h,1,40.18
6/15/2022,p,h,2,45.84
6/15/2022,p,h,3,41.95
6/15/2022,p,h,4,38.15
6/15/2022,p,h,5,44.34
6/15/2022,c,m,1,44.21
6/15/2022,c,m,2,59.78
6/15/2022,c,m,3,48.84
6/15/2022,c,m,4,57.24
6/15/2022,c,m,5,51.85
6/15/2022,c,d,1,37.01
6/15/2022,c,d,2,34.48
6/15/2022,c,d,3,37.21
6/15/2022,c,d,4,36.37
6/15/2022,c,d,5,42.49
6/15/2022,c,h,1,38.51
6/15/2022,c,h,2,35.45
6/15/2022,c,h,3,40.75
6/15/2022,c,h,4,39.48
6/15/2022,c,h,5,40.61
6/21/2022,c,m,1,44.59
