site,obs,time,elapsed,date,week,hhmmss,averaging,replicate,treatment,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,,,,,,,
c,1,1653484324,0,20220525 09:12:04,1,9:12:04,10,1,h,1653484319,0.00284039,2.840389846,14.17420856,410.7749524,233.4778277,23.62628983,41.56749349,0.139922547,2.410554337,0.135561984,0.085106699,238.0491703,30.81256198,29.7868381,4.208562964,50.5284835,2.154965625,4.26485316,2.053597339,-125.2611922,30.0394373,2.768180042,145.5955954,29,6,1,0,25565.29609,1499.994286,1264.495203,0.843000013,0.158700051,3,0.5,0: Broadleaf,2,1653484319,410.7749524,419.973,21.29562857,19.62887143,406.9409524,20.66265714,500.3551905,101.0929048,0.099958262,30.01798571,29.7868381,999.9,0,0,5003.452381,587.4963333,184.8854286,1499.994286,0.899999286,0.100000705,24,30875.0619,1653484343,9:12:23,1653484343,1653484020,2,0.154,0.053,3.834,0.581,420,19,0.16,0.12,100,100,3.834,0.6332,3.701910072,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,5.1,5.1,19,456.449,410.217,37.6728,23.0011,30.0014,22.6963,22.6116,19.6736,4.29056,100,37.7838,420,19.3404,100.368,100.864,,,,,,,,
c,2,1653484519,194.5,20220525 09:15:18,1,9:15:18,10,1,d,1653484513,0.001966059,1.966058717,7.939300689,414.72175,260.140455,26.32578651,41.96915951,0.09063403,2.409041666,0.08878143,0.055651688,238.0484554,31.20474794,30.079125,4.279851375,49.12429483,2.109567278,4.294346179,2.170284097,-86.70318944,7.65101014,0.706936439,159.7032125,1,0,1,0,25532.11758,1499.9905,1264.492082,0.84300006,0.158699975,3,0.5,0: Broadleaf,2,1653484513,414.72175,419.9703,20.845865,19.691755,410.96975,20.225215,500.40495,101.0984,0.09995651,30.138035,30.079125,999.9,0,0,4999.3125,589.9822,54.221195,1499.9905,0.9000006,0.09999949,24,30874.985,1653484537,9:15:37,1653484537,1653484020,3,-0.083,0.053,3.752,0.581,420,19,0.6,0.12,100,100,3.752,0.6204,3.855507506,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,2.9,8.3,19,489.75,411.175,37.9174,23.074,29.9995,22.8312,22.7577,19.6791,0,100,37.785,420,20.8276,100.369,100.844,,,,,,,,
c,3,1653484742,417.5,20220525 09:19:01,1,9:19:01,10,1,m,1653484736,0.00347542,3.475420153,15.01127929,410.09135,254.843825,25.78969986,41.5004477,0.172286997,2.401691462,0.165703589,0.104135276,238.0496005,30.57997009,29.65668,4.1771521,49.83174585,2.120697369,4.255715574,2.056454731,-153.2660288,41.94698499,3.876526698,130.6070834,0,0,1,0,25434.40994,1499.998,1264.498269,0.84299997,0.158699945,3,0.5,0: Broadleaf,2,1653484736,410.09135,419.9445,20.95591,18.91617,406.29235,20.332275,500.4446,101.0977,0.10035673,29.980645,29.65668,999.9,0,0,4980.564,589.05405,395.4641,1499.998,0.9000007,0.09999929,24,30875.15,1653484763,9:19:22,1653484763,1653484020,4,0.047,0.053,3.799,0.581,420,19,0.15,0.12,100,100,3.799,0.624,3.772924493,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,3.4,12,19,497.606,410.023,35.8782,23.174,30.0009,22.9423,22.8797,19.6407,18.2028,100,35.9134,420,19.0023,100.341,100.829,,,,,,,,
c,4,1653484969,645,20220525 09:22:49,1,9:22:49,10,2,h,1653484964,0.004424585,4.424584688,16.44995625,409.3353,278.8183304,28.21706249,41.4256829,0.230297337,2.411144848,0.218737689,0.137701276,238.0500068,30.32331313,29.412195,4.118702957,50.04821432,2.134849324,4.265585402,1.983853633,-195.1241847,79.13509367,7.277230194,129.3381459,0,0,1,0,25573.59478,1500,1264.500026,0.843000017,0.158700005,3,0.5,0: Broadleaf,2,1653484964,409.3353,420.2822,21.094865,18.49843,405.5318,20.4674,500.44565,101.10225,0.100072165,30.020975,29.412195,999.9,0,0,5004.5,587.8975,556.6906,1500,0.9,0.10000002,24,30875.15,1653484763,9:19:22,1653484763,1653484020,4,0.047,0.053,3.799,0.581,420,19,0.15,0.12,100,100,3.803,0.6264,3.820000278,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,3.4,15.8,19,498.727,409.56,38.7042,23.3399,29.9979,23.1222,23.0584,19.5044,20.5317,100,38.5433,420,18.5358,100.309,100.798,,,,,,,,
c,5,1653485189,865,20220525 09:26:29,1,9:26:29,10,2,d,1653485184,0.002733605,2.733605112,12.35201889,411.8238,255.3105289,25.83826347,41.67792019,0.13931423,2.409868813,0.13498968,0.084745911,238.0496691,30.8105956,29.313505,4.095311866,49.54461231,2.108714596,4.256193555,1.986597269,-120.5519855,86.92938941,7.99279395,212.419867,0,0,1,0,25557.51868,1499.9985,1264.498669,0.842999956,0.158699938,3,0.5,0: Broadleaf,2,1653485184,411.8238,419.90265,20.836425,19.23199,408.1088,20.216035,500.48395,101.10325,0.10003205,29.9826,29.313505,999.9,0,0,5001.1875,582.2125,379.0854,1499.9985,0.90000075,0.099999225,23.00834,30875.155,1653485209,9:26:49,1653485209,1653484020,5,-0.084,0.053,3.715,0.581,420,19,0.14,0.12,100,100,3.715,0.6203,3.820000278,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,7.1,19.5,19,497.921,410.81,42.2934,23.3235,30,23.1481,23.0813,19.5578,14.9826,100,64.6705,420,19.3477,100.322,100.79,,,,,,,,
c,6,1653485394,1069.4,20220525 09:29:53,1,9:29:53,10,2,m,1653485388,0.003408791,3.408790987,15.58860076,409.7158,253.9046602,25.6924456,41.45887239,0.177691729,2.412146359,0.170726845,0.107307298,238.0503614,29.97143857,28.987565,4.018879783,50.16544433,2.059176809,4.104771396,1.959702973,-150.3276825,47.58426629,4.350381714,139.6573269,0,0,1,0,25645.71367,1500.003,1264.502495,0.842999977,0.158699924,3,0.5,0: Broadleaf,2,1653485388,409.7158,419.8997,20.34974,18.34751,405.99645,19.74249,500.35555,101.0896,0.099742435,29.353475,28.987565,999.9,0,0,5007.688,585.92315,299.18025,1500.003,0.90000105,0.09999896,22,30875.24,1653485209,9:26:49,1653485209,1653484020,5,-0.084,0.053,3.715,0.581,420,19,0.14,0.12,100,100,3.719,0.6073,3.736352811,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,3.1,22.9,19,498.384,409.598,42.2756,23.2015,29.9999,23.0773,23.0168,19.2311,20.5481,100,80.28,420,18.3476,100.346,100.81,,,,,,,,
c,7,1653485660,1335.9,20220525 09:34:20,1,9:34:20,10,3,d,1653485655,0.001835487,1.835486719,9.205619626,414.01215,223.3776562,22.60178959,41.89056176,0.083525227,2.410582808,0.081950107,0.051357861,238.0485735,31.26255931,30.196695,4.30882196,49.18914118,2.114521391,4.298756473,2.194300569,-80.9449643,-5.298442306,-0.489579419,151.3155874,0,0,1,0,25554.52107,1499.9915,1264.492827,0.842999995,0.158699948,3,0.5,0: Broadleaf,2,1653485655,414.01215,419.9873,20.898205,19.82068,410.45015,20.276135,500.34895,101.08205,0.099912305,30.155925,30.196695,999.9,0,0,5004.0625,596.58315,532.13265,1499.9915,0.90000075,0.09999927,22,30875.01,1653485678,9:34:38,1653485678,1653484020,6,-0.154,0.053,3.562,0.581,420,19,0.35,0.12,100,100,3.562,0.622,3.736352811,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,7.5,27.3,19,496.944,412.584,38.8069,23.1653,29.9998,22.9954,22.9324,19.7,0,100,38.736,420,20.4067,100.354,100.812,,,,,,,,
c,1,1653487278,0,20220525 10:01:17,1,10:01:17,10,3,h,1653487272,0.003836122,3.836121553,14.37964239,410.4385714,289.9774601,29.31161127,41.48810688,0.217765039,2.415499717,0.207416577,0.13052414,238.0480652,30.05513928,28.5853619,3.926280928,50.82709237,2.112629886,4.156503525,1.813651042,-169.1729605,128.3088815,11.70359848,208.8875847,0,0,1,0,25682.24359,1499.986667,1264.488922,0.843000108,0.158700121,3,0.5,0: Broadleaf,2,1653487272,410.4385714,420.0041905,20.90008095,18.64812857,406.7295714,20.2779619,500.3586667,100.9827143,0.099663862,29.57065238,28.5853619,999.9,0,0,5021.577619,585.1451905,350.8577143,1499.986667,0.899998619,0.100001457,24,30874.90476,1653487299,10:01:38,1653487299,1653484020,7,0.148,0.053,3.709,0.581,421,19,0.19,0.12,100,100,3.709,0.6216,3.582638737,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,26.7,54.3,19,502.6,412.006,33.2212,24.5871,29.9843,24.6795,24.6461,18.6891,26.6418,100,35.798,420,18.2591,100.089,100.467,,,,,,,,
c,2,1653487464,186.5,20220525 10:04:24,1,10:04:24,10,3,m,1653487459,0.004660264,4.66026444,18.07801894,408.2985,274.5370997,27.74913179,41.26920878,0.246678858,2.411657732,0.233469511,0.147046279,238.0485797,30.11988933,29.35297,4.104651761,50.77005233,2.149500435,4.23379598,1.955151326,-205.5176618,69.92524972,6.42289569,108.8790633,0,0,1,0,25597.30368,1499.991,1264.492521,0.843000072,0.158700005,3,0.5,0: Broadleaf,2,1653487459,408.2985,420.2771,21.266165,18.531725,404.58445,20.634,500.41235,100.97615,0.099922485,29.890785,29.35297,999.9,0,0,5012.063,588.8174,170.36555,1499.991,0.9000002,0.09999989,24,30874.975,1653487299,10:01:38,1653487299,1653484020,7,0.148,0.053,3.709,0.581,421,19,0.19,0.12,100,100,3.714,0.6308,3.73064841,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,2.8,57.4,19,501.113,410.594,37.5445,24.7167,30.0035,24.635,24.5938,18.8603,27.572,100,37.6005,420,18.3183,100.081,100.473,,,,,,,,
c,3,1653487696,418.5,20220525 10:08:16,1,10:08:16,10,4,d,1653487691,0.001554881,1.55488107,6.37316476,415.573,260.3010838,26.30954047,42.00341582,0.072098706,2.406706759,0.070919935,0.044429262,238.0494136,31.30706891,30.05141905,4.27304908,49.61118028,2.127228888,4.28780141,2.145820192,-68.57025519,7.78996536,0.720280369,177.9894041,0,0,1,0,25504.03866,1499.995714,1264.496397,0.843000006,0.158700062,3,0.5,0: Broadleaf,2,1653487691,415.573,419.7810476,21.04635714,20.13383333,411.965,20.42023333,500.4219524,100.9734286,0.10006711,30.11145714,30.05141905,999.9,0,0,4999.52381,589.6634286,537.0820952,1499.995714,0.899999095,0.100000881,24,30875.08095,1653487717,10:08:37,1653487717,1653484020,8,-0.102,0.053,3.608,0.581,420,19,0.46,0.12,100,100,3.608,0.6261,3.73064841,0.000397065,-1.31E-06,5.62E-10,0.415873853,-0.015677492,0.001668635,-1.94E-05,2,2011,1,26,6.6,61.3,19,500.308,412.934,37.8756,24.7675,29.9999,24.6596,24.6111,19.3512,19.1233,100,37.8184,420,20.2446,100.078,100.476,,,,,,,,
