date,site,species,replicate,top_F,bottom_F
5/31/2022,p,m,1,95,97.2
5/31/2022,p,m,1,96.3,88.7
5/31/2022,p,m,1,90.9,86.4
5/31/2022,p,m,2,83.1,89.4
5/31/2022,p,m,2,95.4,92.7
5/31/2022,p,m,2,90.5,82.9
5/31/2022,p,m,3,86.3,88.3
5/31/2022,p,m,3,84.4,89.6
5/31/2022,p,m,3,85.6,89.7
5/31/2022,p,m,4,90.7,90.7
5/31/2022,p,m,4,90.1,90.1
5/31/2022,p,m,4,91.3,89.9
5/31/2022,p,m,5,103.8,101
5/31/2022,p,m,5,98.1,92.9
5/31/2022,p,m,5,93.9,94.7
5/31/2022,p,d,1,94.6,93.4
5/31/2022,p,d,1,92.7,93.4
5/31/2022,p,d,1,85.8,82.9
5/31/2022,p,d,2,91.9,88.7
5/31/2022,p,d,2,97,87.3
5/31/2022,p,d,2,85.3,89.1
5/31/2022,p,d,3,100.4,94.8
5/31/2022,p,d,3,88.9,89.1
5/31/2022,p,d,3,93.1,90
5/31/2022,p,d,4,90.5,91.3
5/31/2022,p,d,4,91.3,91.8
5/31/2022,p,d,4,89.2,87.9
5/31/2022,p,d,5,100.7,99.7
5/31/2022,p,d,5,99.6,90.7
5/31/2022,p,d,5,98.1,98.1
5/31/2022,p,h,1,89.6,86.8
5/31/2022,p,h,1,87.1,86.7
5/31/2022,p,h,1,88.3,86.5
5/31/2022,p,h,2,90.3,86.9
5/31/2022,p,h,2,89.8,90
5/31/2022,p,h,2,89.8,85.9
5/31/2022,p,h,3,90.7,89.7
5/31/2022,p,h,3,90.5,90.3
5/31/2022,p,h,3,91.3,88.9
5/31/2022,p,h,4,98.1,97.1
5/31/2022,p,h,4,90.6,90.4
5/31/2022,p,h,4,94.5,96.9
5/31/2022,p,h,5,89.1,91.7
5/31/2022,p,h,5,93.1,94.6
5/31/2022,p,h,5,89.1,89
6/1/2022,c,m,1,75.9,77
6/1/2022,c,m,1,75.6,77
6/1/2022,c,m,1,77,84.4
6/1/2022,c,m,2,77.9,76.8
6/1/2022,c,m,2,77.2,75
6/1/2022,c,m,2,76.1,77
6/1/2022,c,m,3,89.2,93.2
6/1/2022,c,m,3,82.8,88.2
6/1/2022,c,m,3,92.3,80.6
6/1/2022,c,m,4,94.1,81.9
6/1/2022,c,m,4,90.7,90.6
6/1/2022,c,m,4,90.3,82.3
6/1/2022,c,m,5,82.6,73
6/1/2022,c,m,5,83.4,72.1
6/1/2022,c,m,5,79.2,79.1
6/1/2022,c,d,1,87.1,82
6/1/2022,c,d,1,92.8,95.4
6/1/2022,c,d,1,94.1,95
6/1/2022,c,d,2,76.6,79
6/1/2022,c,d,2,76.3,77.9
6/1/2022,c,d,2,77.2,84.4
6/1/2022,c,d,3,86,85.1
6/1/2022,c,d,3,81.3,80.8
6/1/2022,c,d,3,76,66.9
6/1/2022,c,d,4,88.5,91.6
6/1/2022,c,d,4,84.9,90.4
6/1/2022,c,d,4,86,88.7
6/1/2022,c,d,5,93.7,87.8
6/1/2022,c,d,5,90.8,79.9
6/1/2022,c,d,5,89.7,86.3
6/1/2022,c,h,1,86.5,79.7
6/1/2022,c,h,1,83.7,89.6
6/1/2022,c,h,1,81.9,81.3
6/1/2022,c,h,2,79,77.5
